170th	the ordinal number of one hundred seventy in counting order
1728	a cardinal number equal to one dozen gross
175	being five more than one hundred seventy
1750s	the decade from 1750 to 1759
175th	the ordinal number of one hundred seventy-five in counting order
1760s	the decade from 1760 to 1769
1770s	the decade from 1770 to 1779
1780s	the decade from 1780 to 1789
1790s	the decade from 1790 to 1799
17th	coming next after the sixteenth in position
18	being one more than seventeen | the cardinal number that is the sum of seventeen and one
18-karat gold	an alloy that contains 75 per cent gold
180	being ten more than one hundred seventy
180th	the ordinal number of one hundred eighty in counting order
1820s	the decade from 1820 to 1829
1830s	the decade from 1830 to 1839
1840s	the decade from 1840 to 1849
1850s	the decade from 1850 to 1859
1860s	the decade from 1860 to 1869
1862 Apollo	an asteroid whose orbit crosses the Earth's orbit
1870s	the decade from 1870 to 1879
1880s	the decade from 1880 to 1889
1890s	the decade from 1890 to 1899
18th	coming next after the seventeenth in position
19	being one more than eighteen | the cardinal number that is the sum of eighteen and one
190	being ten more than one hundred eighty
1900s	the decade from 1900 to 1909
190th	the ordinal number of one hundred eighty-five in counting order
1920s	the decade from 1920 to 1929
1930s	the decade from 1930 to 1939
1940s	the decade from 1940 to 1949
1950s	the decade from 1950 to 1959
1960s	the decade from 1960 to 1969
1970s	the decade from 1970 to 1979
1980s	the decade from 1980 to 1989
1990s	the decade from 1990 to 1999
19th	coming next after the eighteenth in position
1st	preceding all others in time or space or degree
1st Baron Beaverbrook	British newspaper publisher and politician (born in Canada); confidant of Winston Churchill (1879-1964)
1st Baron Verulam	English statesman and philosopher; precursor of British empiricism; advocated inductive reasoning (1561-1626)
1st class	mail that includes letters and postcards and packages sealed against inspection
1st Earl Attlee	British statesman and leader of the Labour Party who instituted the welfare state in Britain (1883-1967)
1st Earl Baldwin of Bewdley	English statesman; member of the Conservative Party (1867-1947)
1st Earl of Balfour	English statesman; member of the Conservative Party (1848-1930)
1st lieutenant	a commissioned officer in the Army or Air Force or Marines ranking above a 2nd lieutenant and below a captain
1st Viscount Montgomery of Alamein	English general during World War II; won victories over Rommel in North Africa and led British ground forces in the invasion of Normandy (1887-1976)
1st-class mail	mail that includes letters and postcards and packages sealed against inspection
2	being one more than one | the cardinal number that is the sum of one and one or a numeral representing this number
2 Chronicles	the second of two Old Testament books telling the history of Judah and Israel until the return from the Babylonian Captivity in 536 BC
2 Esdras	an Apocryphal book of angelic revelations
2 Kings	the second of two Old Testament books telling the histories of the kings of Judah and Israel
2 Maccabees	an Apocryphal book describing the life of Judas Maccabaeus, tells about the Jews' revolt against Antiochus IV Epiphanes and concludes with the defeat of the Syrian general Nicanor in 161 BC by Judas Maccabeus
2 Pallas	a large asteroid; the second asteroid to be discovered
2 Samuel	the second of two books of the Old Testament that tell of Saul and David
2-dimensional	lacking the expected range or depth; not designed to give an illusion or depth
2-hitter	a game in which a pitcher allows the opposing team only 2 hits
2-hydroxybenzoic acid	a white crystalline substance with a bitter aftertaste; used as a fungicide or in making aspirin or dyes or perfumes
2-methylpropenoic acid	an unsaturated acid (C4H6O2) used to make resins and plastics
20	being one more than nineteen | the cardinal number that is the sum of nineteen and one
20/20	normal visual acuity, as measured by the ability to read charts at a distance of 20 feet
200	being ten more than one hundred ninety
200th	the ordinal number of two hundred in counting order
2019-nCoV acute respiratory disease	a viral disease caused by SARS-CoV-2 that caused a global pandemic in 2020
20th	coming next after the nineteenth in position
21	being one more than twenty | the cardinal number that is the sum of twenty and one
21st	coming next after the twentieth in position
22	being two more than twenty | the cardinal number that is the sum of twenty-one and one
22-karat gold	an alloy that contains 91.67 per cent gold
22nd	coming next after the twenty-first in position
23	being three more than twenty | the cardinal number that is the sum of twenty-two and one
23rd	coming next after the twenty-second in position
24	being four more than twenty | the cardinal number that is the sum of twenty-three and one
24-hour interval	time for Earth to make a complete rotation on its axis
24-karat gold	100 per cent gold
24/7	uptime is 24 hours a day 7 days a week
24th	coming next after the twenty-third in position
25	being five more than twenty | the cardinal number that is the sum of twenty-four and one
25 de Abril Bridge	a suspension bridge across the Tagus River at Lisbon
25th	coming next after the twenty-fourth in position
26	being six more than twenty | the cardinal number that is the sum of twenty-five and one
26th	coming next after the twenty-fifth in position
27	being seven more than twenty | the cardinal number that is the sum of twenty-six and one
27th	coming next after the twenty-sixth in position
28	being eight more than twenty | the cardinal number that is the sum of twenty-seven and one
28th	coming next after the twenty-seventh in position
29	being nine more than twenty | the cardinal number that is the sum of twenty-eight and one
29th	coming next after the twenty-eighth in position
2d	coming next after the first in position in space or time or degree or magnitude
2nd	coming next after the first in position in space or time or degree or magnitude
2nd lieutenant	a commissioned officer in the Army or Air Force or Marine Corps holding the lowest rank
3	being one more than two | the cardinal number that is the sum of one and one and one
3-D	a movie with images having three dimensional form or appearance | having a three-dimensional form or appearance
3-dimensional	involving or relating to three dimensions or aspects; giving the illusion of depth
3-hitter	a game in which a pitcher allows the opposing team only 3 hits
3-membered	of a chemical compound having a ring with three members
30	being ten more than twenty | the cardinal number that is the product of ten and three
30 minutes	a half of an hour
300	being one hundred more than two hundred
300th	the ordinal number of three hundred in counting order
30th	coming next after the twenty-ninth in position
31	being one more than thirty
31st	coming next after the thirtieth in position
32	being two more than thirty
32nd	the ordinal number of thirty-two in counting order
33	being three more than thirty
33rd	the ordinal number of thirty-three in counting order
34	being four more than thirty
34th	the ordinal number of thirty-four in counting order
35	being five more than thirty
35th	the ordinal number of thirty-five in counting order
36	being six more than thirty
365 days	a year that is not a leap year
366 days	a calendar year with an extra day added in February
36th	the ordinal number of thirty-six in counting order
37	being seven more than thirty
37th	the ordinal number of thirty-seven in counting order
38	being eight more than thirty
38th	the ordinal number of thirty-eight in counting order
39	being nine more than thirty
39th	the ordinal number of thirty-nine in counting order
3D	a movie with images having three dimensional form or appearance | having a three-dimensional form or appearance
3d radar	radar that will report altitude as well as azimuth and distance of a target
3rd	coming next after the second and just before the fourth in position
3rd October Organization	a militant Marxist-Leninist terrorist organization formed in 1975 to force Turkey to acknowledge killing more than a million Armenians and forcibly removing them from border areas in 1915; wants Turkey to pay reparations and cede territory to Armenia
3TC	a nucleoside reverse transcriptase inhibitor that is very effective in combination with zidovudine in treating AIDS and HIV
4	being one more than three | the cardinal number that is the sum of three and one
4 Vesta	the brightest asteroid but the fourth to be discovered
4-dimensional	involving or relating to the fourth dimension or time
4-hitter	a game in which a pitcher allows the opposing team 4 hits
4-membered	of a chemical compound having a ring with four members
4.5-Inch Beach Barrage Rocket	rocket developed and used by the United States Navy during World War II
40	being ten more than thirty | the cardinal number that is the product of ten and four
400	being one hundred more than three hundred
400th	the ordinal number of four hundred in counting order
401-k	a retirement savings plan that is funded by employee contributions and (often) matching contributions from the employer; contributions are made from your salary before taxes and the funds grow tax-free until they are withdrawn, at which point they can be converted into an IRA; funds can be transferred if you change employers and you can (to some extent) manage the investments yourself
401-k plan	a retirement savings plan that is funded by employee contributions and (often) matching contributions from the employer; contributions are made from your salary before taxes and the funds grow tax-free until they are withdrawn, at which point they can be converted into an IRA; funds can be transferred if you change employers and you can (to some extent) manage the investments yourself
40th	the ordinal number of forty in counting order
41	being one more than forty
41st	the ordinal number of forty-one in counting order
42	being two more than forty
42nd	the ordinal number of forty-two in counting order
43	being three more than forty
43rd	the ordinal number of forty-three in counting order
44	being four more than forty
440 yards	a unit of length equal to a quarter of 1 mile
44th	the ordinal number of forty-four in counting order
45	being five more than forty
45th	the ordinal number of forty-five in counting order
46	being six more than forty
46th	the ordinal number of forty-six in counting order
47	being seven more than forty
47th	the ordinal number of forty-seven in counting order
48	being eight more than forty
48th	the ordinal number of forty-eight in counting order
49	being nine more than forty
49th	the ordinal number of forty-nine in counting order
4th	coming next after the third and just before the fifth in position or time or degree or magnitude
4to	the size of a book whose pages are made by folding a sheet of paper twice to form four leaves
4WD	a motor vehicle with a four-wheel drive transmission system | a transmission that provides power directly to all four wheels of a motor vehicle
5	being one more than four | the cardinal number that is the sum of four and one
5-hitter	a game in which a pitcher allows the opposing team 5 hits
5-hydroxy-3-methylglutaryl-coenzyme A reductase	a liver enzyme that is responsible for producing cholesterol
5-hydroxytryptamine	a neurotransmitter involved in e.g. sleep and depression and memory
5-membered	of a chemical compound having a ring with five members
50	being ten more than forty | the cardinal number that is the product of ten and five
500	denoting a quantity consisting of 500 items or units | the cardinal number that is the product of one hundred and five
50000 Quaoar	a planetoid discovered in 2002
500th	the ordinal number of five hundred in counting order
50th	the ordinal number of fifty in counting order
51	being one more than fifty
52	being two more than fifty
53	being three more than fifty
54	being four more than fifty
55	being five more than fifty
55th	the ordinal number of fifty-five in counting order
56	being six more than fifty
57	being seven more than fifty
58	being eight more than fifty
59	being nine more than fifty
5th	coming next after the fourth and just before the sixth in position
6	being one more than five | the cardinal number that is the sum of five and one
6 June 1944	date of the Allied landing in France, World War II
6-membered	of a chemical compound having a ring with six members
60	being ten more than fifty | the cardinal number that is the product of ten and six
60 minutes	a period of time equal to 1/24th of a day
60th	the ordinal number of sixty in counting order
61	being one more than sixty
62	being two more than sixty
63	being three more than sixty
64	being four more than sixty
64th	the ordinal number of sixty-four in counting order
65	being five more than sixty
65th	the ordinal number of sixty-five in counting order
66	being six more than sixty
67	being seven more than sixty
68	being eight more than sixty
69	being nine more than sixty
6th	coming next after the fifth and just before the seventh in position
7	being one more than six | the cardinal number that is the sum of six and one
7-membered	of a chemical compound having a ring with seven members
70	being ten more than sixty | the cardinal number that is the product of ten and seven
70th	the ordinal number of seventy in counting order
71	being one more than seventy
72	being two more than seventy
73	being three more than seventy
74	being four more than seventy
75	being five more than seventy
75th	the ordinal number of seventy-five in counting order
76	being six more than seventy
77	being seven more than seventy
78	the cardinal number that is the sum of seventy and eight | a shellac based phonograph record that played at 78 revolutions per minute | being eight more than seventy
79	being nine more than seventy
7th	coming next after the sixth and just before the eighth in position
8	being one more than seven | the cardinal number that is the sum of seven and one
8 May 1945	the date of Allied victory in Europe, World War II
8-membered	of a chemical compound having a ring with eight members
80	being ten more than seventy | the cardinal number that is the product of ten and eight
80th	the ordinal number of eighty in counting order
81	being one more than eighty
82	being two more than eighty
83	being three more than eighty
84	being four more than eighty
85	being five more than eighty
85th	the ordinal number of eighty-five in counting order
86	being six more than eighty
87	being seven more than eighty
88	being eight more than eighty
880 yards	a unit of length equal to half of 1 mile
89	being nine more than eighty
8th	coming next after the seventh and just before the ninth in position
8vo	the size of a book whose pages are made by folding a sheet of paper three times to form eight leaves
9	being one more than eight | the cardinal number that is the sum of eight and one
9-11	the day in 2001 when Arab suicide bombers hijacked United States airliners and used them as bombs
9-membered	of a chemical compound having a ring with nine members
9/11	the day in 2001 when Arab suicide bombers hijacked United States airliners and used them as bombs
90	being ten more than eighty | the cardinal number that is the product of ten and nine
90377 Sedna	a planetoid of rock and ice about three-quarters the size of Pluto discovered in 2003; the most distant object known to orbit around the sun
90th	the ordinal number of ninety in counting order
91	being one more than ninety
92	being two more than ninety
93	being three more than ninety
94	being four more than ninety
95	being five more than ninety
95th	the ordinal number of ninety-five in counting order
96	being six more than ninety
97	being seven more than ninety
98	being eight more than ninety
99	being one less than one hundred and nine more than ninety
9th	coming next after the eighth and just before the tenth in position
A	a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation | any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes | nucleotide derived from adenine with a deoxyribose sugar and a phosphate group | (biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA | the basic unit of electric current adopted under the Systeme International d'Unites | the 1st letter of the Roman alphabet | the blood group whose red cells carry the A antigen
A battery	the battery used to heat the filaments of a vacuum tube
a bit	to a small degree; somewhat
a capella	sung without instrumental accompaniment | without musical accompaniment
a capella singing	singing without instrumental accompaniment
a cappella	sung without instrumental accompaniment | without musical accompaniment
a cappella singing	singing without instrumental accompaniment
a couple of	more than one but indefinitely small in number
a few	more than one but indefinitely small in number
a fortiori	with greater reason; for a still stronger, more certain reason
a good deal	to a very great degree or extent
a great deal	to a very great degree or extent | frequently or in great quantities
A horizon	the top layer of a soil profile; usually contains humus
a hundred times	by a factor of one hundred
a Kempis	German ecclesiastic (1380-1471)
a la carte	a menu having individual dishes listed with separate prices | (of a restaurant meal) having unlimited choices with a separate price for each item | by ordering items listed individually on a menu
a la mode	in the current fashion or style | with ice cream on top or on the side
A level	the advanced level of a subject taken in school (usually two years after O level)
a little	to a small degree; somewhat
a lot	to a very great degree or extent
a million times	by a factor of a million
a posteriori	involving reasoning from facts or particulars to general principles or from effects to causes | requiring evidence for validation or support | derived from observed facts
a priori	involving deductive reasoning from a general principle to a necessary effect; not supported by fact | based on hypothesis or theory rather than experiment | derived by logic, without observed facts
a trifle	to a small degree; somewhat
A'man	the Israeli military intelligence which produces comprehensive national intelligence briefings for the prime minister and the cabinet
A-bomb	a nuclear weapon in which enormous energy is released by nuclear fission (splitting the nuclei of a heavy element like uranium 235 or plutonium 239)
A-horizon	the top layer of a soil profile; usually contains humus
A-line	women's clothing that has a fitted top and a flared skirt that is widest at the hemline
A-list	a list of names of specially favored people
a-ok	in perfect condition or order
a-okay	in perfect condition or order
A-one	of the highest quality
A-scan ultrasonography	the use of ultrasonography to measure the length of the eyeball
A-team	a group of elite soldiers or a leadership group of advisors or workers in an organization
A. A. Michelson	United States physicist (born in Germany) who collaborated with Morley in the Michelson-Morley experiment (1852-1931)
A. A. Milne	English writer of stories for children (1882-1956)
A. Conan Doyle	British author who created Sherlock Holmes (1859-1930)
A. E. Burnside	United States general in the American Civil War who was defeated by Robert E. Lee at the Battle of Fredericksburg (1824-1881)
A. E. Housman	English poet (1859-1936)
A. E. Kennelly	United States electrical engineer noted for his work on the theory of alternating currents; independently of Oliver Heaviside he discovered the existence of an atmospheric layer that reflects radio waves back to earth (1861-1939)
A. E. W. Mason	English writer (1865-1948)
A. Noam Chomsky	United States linguist whose theory of generative grammar redefined the field of linguistics (born 1928)
A. testudineus	a small perch of India whose gills are modified to allow it to breathe air; has spiny pectoral fins that enable it to travel on land
A.D.	in the Christian era; used before dates after the supposed year Christ was born
A.E.	Irish writer whose pen name was A.E. (1867-1935)
a.k.a.	as known or named at another time or place
A.M.	the period between midnight and noon | before 12 noon
A/C	an appliance designed to extract humidity from the air and thereby cool it
A0	Paper size, 841 x 1189 mm.
A1	Paper size, 594 x 841 mm.
A2	Paper size, 420 x 594 mm
A4	Paper size, 210 x 297 mm
A5	Paper size, 148 x 210 mm
A6	Paper size, 105 x 148 mm
AA	an international organization that provides a support group for persons trying to overcome alcoholism | an associate degree in arts | a dry form of lava resembling clinkers
AAA	an aneurysm of the abdominal aorta associated with old age and hypertension
AAC	a lightweight, precast, concrete building material invented in the mid-1920s that simultaneously provides structure, insulation, and fire- and mold-resistance.
Aachen	a city in western Germany near the Dutch and Belgian borders; formerly it was Charlemagne's northern capital
aah	express admiration and pleasure by uttering ‘ooh’ or ‘aah’
Aaland islands	an archipelago of some 6,000 islands in the Gulf of Bothnia under Finnish control
Aalborg	a city and port in northern Jutland
aalii	a small Hawaiian tree with hard dark wood
Aalst	a town in central Belgium
Aalto	Finnish architect and designer of furniture (1898-1976)
Aar	a river in north central Switzerland that runs northeast into the Rhine
aardvark	nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata
aardwolf	striped hyena of southeast Africa that feeds chiefly on insects
aardwolves	@aardwolf
Aare	a river in north central Switzerland that runs northeast into the Rhine
Aare River	a river in north central Switzerland that runs northeast into the Rhine
Aarhus	port city of Denmark in eastern Jutland
Aaron	United States professional baseball player who hit more home runs than Babe Ruth (born in 1934) | (Old Testament) elder brother of Moses and first high priest of the Israelites; created the golden calf
Aaron Burr	United States politician who served as vice president under Jefferson; he mortally wounded his political rival Alexander Hamilton in a duel and fled south (1756-1836)
Aaron Copland	United States composer who developed a distinctly American music (1900-1990)
Aaron Montgomery Ward	United States businessman who in 1872 established a successful mail-order business (1843-1913)
Aaron's rod	tall-stalked very woolly mullein with densely packed yellow flowers; ancient Greeks and Romans dipped the stalks in tallow for funeral torches
AARP	an association of people to promote the welfare of senior citizens
AAS	an associate degree in applied science
AAVE	a nonstandard form of American English characteristically spoken by African Americans in the United States
AB	a bachelor's degree in arts and sciences | the blood group whose red cells carry both the A and B antigens | the eleventh month of the civil year; the fifth month of the ecclesiastical year in the Jewish calendar (in July and August) | the muscles of the abdomen
ab initio	at the beginning
aba	a loose sleeveless outer garment made from aba cloth; worn by Arabs | a fabric woven from goat hair and camel hair
ABA transit number	an identification number consisting of a two-part code assigned to banks and savings associations; the first part shows the location and the second identifies the bank itself
abaca	a kind of hemp obtained from the abaca plant in the Philippines | Philippine banana tree having leafstalks that yield Manila hemp used for rope and paper etc
abaci	@abacus
abacinate	blind by holding a red-hot metal plate before someone's eyes
aback	having the wind against the forward side of the sails | by surprise
abactinal	(of radiate animals) located on the surface or end opposite to that on which the mouth is situated
abacus	a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave | a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves
Abadan	a port city in southwestern Iran
abaft	at or near or toward the stern of a ship or tail of an airplane
abalone	any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior
